dataset,thinking_mode,emb_model,auc,threshold,youden_j,f1_at_threshold,n_pos,n_neg,method,poincare_scale
natural_questions,no_thinking,bge-base,0.9048056722689076,0.6370349418577836,0.6980042016806722,0.4716981132075472,28,272,baseline,
natural_questions,no_thinking,bge-base,0.9363636363636363,0.06903140870070357,0.8545454545454545,0.5,4,55,helm,
natural_questions,no_thinking,bge-base,0.881827731092437,0.6370348822531389,0.6649159663865547,0.4347826086956521,28,272,maxsim,
natural_questions,no_thinking,bge-base,0.9048056722689076,0.6370349418577836,0.6980042016806722,0.4716981132075472,28,272,maxsim_span,
natural_questions,no_thinking,bge-base,0.9048056722689076,0.9181469795691908,0.6980042016806722,0.4716981132075472,28,272,poincare,0.05
natural_questions,no_thinking,e5-base,0.9338235294117648,0.8190537700101957,0.7788865546218489,0.5952380952380952,28,272,baseline,
natural_questions,no_thinking,e5-base,0.8772727272727273,0.07282523224808875,0.709090909090909,0.33333333333333337,4,55,helm,
natural_questions,no_thinking,e5-base,0.8932510504201681,0.8155479053756101,0.6906512605042017,0.462962962962963,28,272,maxsim,
natural_questions,no_thinking,e5-base,0.921875,0.8147357887958162,0.7384453781512605,0.5263157894736842,28,272,maxsim_span,
natural_questions,no_thinking,e5-base,0.9338235294117648,0.941458751508339,0.7715336134453783,0.5813953488372092,28,272,poincare,0.05
natural_questions,no_thinking,minilm,0.8937762605042018,0.4474726475999883,0.6670168067226889,0.4946236559139785,28,272,baseline,
natural_questions,no_thinking,minilm,0.9636363636363636,0.16028018507301509,0.9454545454545453,0.7272727272727273,4,55,helm,
natural_questions,no_thinking,minilm,0.8620010504201681,0.446200106311683,0.615546218487395,0.4299065420560747,28,272,maxsim,
natural_questions,no_thinking,minilm,0.8937762605042018,0.4474726475999883,0.6670168067226889,0.4946236559139785,28,272,maxsim_span,
natural_questions,no_thinking,minilm,0.8937762605042018,0.8996433226307433,0.6596638655462184,0.4842105263157894,28,272,poincare,0.05
natural_questions,thinking,bge-base,0.8796296296296297,0.6339621753548856,0.5972222222222223,0.2222222222222222,12,288,baseline,
natural_questions,thinking,bge-base,0.9245283018867925,0.02965815800906688,0.7735849056603774,0.4,4,53,helm,
natural_questions,thinking,bge-base,0.84375,0.7802423750934888,0.5347222222222223,0.4242424242424242,12,288,maxsim,
natural_questions,thinking,bge-base,0.8961226851851851,0.6338639579825665,0.6458333333333335,0.2631578947368421,12,288,maxsim_span,
