dataset,thinking_mode,emb_model,correct_n,correct_mean,correct_std,correct_median,correct_q25,correct_q75,incorrect_n,incorrect_mean,incorrect_std,incorrect_median,incorrect_q25,incorrect_q75,t_stat,p_value
sciq,no_thinking,bge-base,261,0.9211803674697876,0.07381130009889603,0.926395833492279,0.8848828673362732,0.9999998807907104,239,0.6930557489395142,0.11992929130792618,0.6828508377075195,0.609651654958725,0.7828029990196228,25.286816506341555,3.9568817310147263e-84
sciq,no_thinking,minilm,261,0.9126298427581787,0.11846479773521423,0.949005663394928,0.9033792018890381,0.9999998807907104,239,0.46799203753471375,0.23067760467529297,0.4417116641998291,0.28924448788166046,0.6290718913078308,26.688874125632736,3.2129173164941787e-86
sciq,no_thinking,e5-base,261,0.9669652581214905,0.033737748861312866,0.9736760854721069,0.9537198543548584,0.9999998807907104,239,0.8700200319290161,0.0535164400935173,0.8691110610961914,0.830349862575531,0.9104495644569397,23.93054177718515,7.487240333557067e-79
sciq,thinking,bge-base,304,0.9072803854942322,0.09015923738479614,0.9254268407821655,0.8857652395963669,0.9601724445819855,196,0.7061927914619446,0.12482244521379471,0.6969850063323975,0.6046275198459625,0.808501198887825,19.46461993807875,1.8773257592875628e-56
sciq,thinking,minilm,304,0.8998797535896301,0.1484435349702835,0.9482746720314026,0.9052009582519531,0.9759988486766815,196,0.49274367094039917,0.23913048207759857,0.44922879338264465,0.29055488109588623,0.7056601643562317,21.282143096984004,2.4122581780061495e-61
sciq,thinking,e5-base,304,0.9581700563430786,0.05039868876338005,0.9716317653656006,0.9550544023513794,0.9840400218963623,196,0.8740038275718689,0.05776107311248779,0.8737608194351196,0.8313797563314438,0.9207169115543365,16.669889950835508,4.451419882898108e-47
simpleqa,no_thinking,bge-base,16,0.9250676035881042,0.10845261812210083,0.9605044722557068,0.9118747860193253,1.0,484,0.5540586113929749,0.11457621306180954,0.5555058717727661,0.4622395783662796,0.6304186284542084,13.025391768140562,5.940519521895947e-10
simpleqa,no_thinking,minilm,16,0.8965373635292053,0.18902146816253662,0.9819216132164001,0.905117467045784,1.0,484,0.44481828808784485,0.20984680950641632,0.43464142084121704,0.27321507036685944,0.5987590402364731,9.083359560139906,9.428353927666713e-08
simpleqa,no_thinking,e5-base,16,0.9647647142410278,0.060877468436956406,0.991926908493042,0.9575876891613007,1.0,484,0.8348096013069153,0.050687920302152634,0.8296003341674805,0.8014525920152664,0.867896318435669,8.180067669331411,4.847136453178505e-07
simpleqa,thinking,bge-base,16,0.9343101382255554,0.15096035599708557,0.9999998807907104,0.9663469195365906,1.0,484,0.557945191860199,0.10714466124773026,0.5543461441993713,0.47582201659679413,0.6255884915590286,9.581224637660036,6.670325304936495e-08
simpleqa,thinking,minilm,16,0.8822882175445557,0.2946399450302124,1.0000001192092896,0.9860879927873611,1.0000001192092896,484,0.4491517245769501,0.21187245845794678,0.43154603242874146,0.28040288388729095,0.6071473956108093,5.648321427494059,4.106168512444831e-05
simpleqa,thinking,e5-base,16,0.9598928093910217,0.09893979132175446,0.9999999403953552,0.9886379837989807,1.0000000298023224,484,0.8304847478866577,0.059072356671094894,0.8341240882873535,0.7965179979801178,0.8713947087526321,5.037850020062989,0.00013774508020137244
natural_questions,no_thinking,bge-base,28,0.7421316504478455,0.11055480688810349,0.7772201299667358,0.677741602063179,0.8256489336490631,272,0.5160335898399353,0.11504367738962173,0.4950978755950928,0.42780783027410507,0.5967516899108887,10.096098200428392,1.2305327071128204e-11
natural_questions,no_thinking,minilm,28,0.6055434346199036,0.19800196588039398,0.6381568908691406,0.4953537583351135,0.7364089637994766,272,0.2709350287914276,0.1658584624528885,0.24132809042930603,0.15692159160971642,0.3786896541714668,8.489378446258636,1.4120593085426207e-09
natural_questions,no_thinking,e5-base,28,0.8605673909187317,0.05040447413921356,0.8588707447052002,0.8308551162481308,0.8943088054656982,272,0.7504973411560059,0.05288856849074364,0.747452974319458,0.7130481749773026,0.7895427942276001,10.771606223116208,2.253713386697691e-12
natural_questions,thinking,bge-base,12,0.7482328414916992,0.13616061210632324,0.786095917224884,0.6613185256719589,0.8333588391542435,288,0.5315700173377991,0.11757214367389679,0.5068888664245605,0.4386458247900009,0.6320762038230896,5.203683186885047,0.00024374015452358853
natural_questions,thinking,minilm,12,0.6173578500747681,0.2218572497367859,0.6347772479057312,0.4621566906571388,0.762237548828125,288,0.2883703112602234,0.17107883095741272,0.257163941860199,0.17454522848129272,0.39959847182035446,4.863050664394015,0.00043941092693618986
natural_questions,thinking,e5-base,12,0.8513825535774231,0.06322912871837616,0.8376699686050415,0.8187499046325684,0.8639862984418869,288,0.7511322498321533,0.05107787624001503,0.7517048120498657,0.7106284499168396,0.7885266542434692,5.193982251395944,0.00025321935679471454
truthfulqa,no_thinking,bge-base,286,0.791364312171936,0.14415311813354492,0.8337950706481934,0.7576549351215363,0.8766180723905563,531,0.6782435178756714,0.16500400006771088,0.7345471382141113,0.5967634916305542,0.8004133999347687,10.146970206769844,1.4483307348881127e-22
truthfulqa,no_thinking,minilm,286,0.7358458638191223,0.2272195667028427,0.8163462281227112,0.6945654153823853,0.8705118894577026,531,0.5562303066253662,0.29035353660583496,0.6712963581085205,0.34794124960899353,0.7867838740348816,9.73787380244743,4.0506743782288616e-21
truthfulqa,no_thinking,e5-base,286,0.8738926649093628,0.07270641624927521,0.8860629796981812,0.8455076962709427,0.9234475493431091,531,0.7990982532501221,0.07811244577169418,0.8135988712310791,0.7692092955112457,0.8482930660247803,13.641776127625656,3.033685540608851e-37
truthfulqa,thinking,bge-base,230,0.8120697140693665,0.11984317004680634,0.8363833427429199,0.7954722344875336,0.8817371428012848,587,0.6816443800926208,0.15741793811321259,0.7386179566383362,0.6024869382381439,0.795278400182724,12.727893025486377,1.1264825387453286e-32
truthfulqa,thinking,minilm,230,0.7580636143684387,0.20377694070339203,0.8229618668556213,0.7268582731485367,0.8714482337236404,587,0.5608506202697754,0.28184664249420166,0.6701736450195312,0.38925354182720184,0.7821049690246582,11.07849018494961,5.540289871078333e-26
